t_ms,dt_ms,rate,mcs,nss,bw,snr_db,collision,sr,tpt_mbps,best_tpt_mbps,mode,state
0.0,31.37,MCS0·SISO·20MHz·0.8us,0,1,20,60.0,0.00,1.000,7.7,2416.0,search,STAY
31.4,15.69,MCS1·SISO·20MHz·0.8us,1,1,20,60.0,0.00,1.000,15.3,2416.0,search,STAY
47.1,10.46,MCS2·SISO·20MHz·0.8us,2,1,20,60.0,0.00,1.000,22.9,2416.0,search,STAY
57.5,7.84,MCS3·SISO·20MHz·0.8us,3,1,20,60.0,0.00,1.000,30.6,2416.0,search,STAY
65.4,5.23,MCS4·SISO·20MHz·0.8us,4,1,20,60.0,0.00,1.000,45.9,2416.0,search,STAY
70.6,3.92,MCS5·SISO·20MHz·0.8us,5,1,20,60.0,0.00,1.000,61.2,2416.0,search,STAY
74.5,3.48,MCS6·SISO·20MHz·0.8us,6,1,20,60.0,0.00,1.000,68.9,2416.0,search,STAY
78.0,3.14,MCS7·SISO·20MHz·0.8us,7,1,20,60.0,0.00,1.000,76.5,2416.0,search,STAY
81.1,2.61,MCS8·SISO·20MHz·0.8us,8,1,20,60.0,0.00,1.000,91.9,2416.0,search,STAY
83.7,2.35,MCS9·SISO·20MHz·0.8us,9,1,20,60.0,0.00,1.000,102.1,2416.0,search,STAY
86.1,2.09,MCS10·SISO·20MHz·0.8us,10,1,20,60.0,0.00,1.000,114.8,2416.0,search,STAY
88.2,1.88,MCS11·SISO·20MHz·0.8us,11,1,20,60.0,0.00,1.000,127.6,2416.0,search,STAY
90.1,1.76,MCS12·SISO·20MHz·0.8us,12,1,20,60.0,0.00,1.000,136.8,2416.0,search,STAY
91.8,1.59,MCS13·SISO·20MHz·0.8us,13,1,20,60.0,0.00,1.000,151.0,2416.0,search,STAY
93.4,158.94,MCS13·SISO·20MHz·0.8us,13,1,20,60.0,0.00,1.000,151.0,2416.0,dwell,STAY
252.3,158.94,MCS13·SISO·20MHz·0.8us,13,1,20,60.0,0.00,1.000,151.0,2416.0,dwell,STAY
411.3,158.94,MCS13·SISO·20MHz·0.8us,13,1,20,60.0,0.00,1.000,151.0,2416.0,dwell,STAY
570.2,0.79,MCS13·MIMO·20MHz·0.8us,13,2,20,60.0,0.00,1.000,302.0,2416.0,search,SEARCH
571.0,0.79,MCS13·SISO·40MHz·0.8us,13,1,40,60.0,0.00,1.000,302.0,2416.0,search,SEARCH
571.8,1.87,MCS13·SISO·20MHz·3.2us,13,1,20,60.0,0.00,1.000,128.3,2416.0,search,SEARCH
573.7,79.47,MCS13·MIMO·20MHz·0.8us,13,2,20,60.0,0.00,1.000,302.0,2416.0,dwell,STAY
653.1,79.47,MCS13·MIMO·20MHz·0.8us,13,2,20,60.0,0.00,1.000,302.0,2416.0,dwell,STAY
732.6,79.47,MCS13·MIMO·20MHz·0.8us,13,2,20,60.0,0.00,1.000,302.0,2416.0,dwell,STAY
812.1,79.47,MCS13·MIMO·20MHz·0.8us,13,2,20,60.0,0.00,1.000,302.0,2416.0,dwell,STAY
891.6,79.47,MCS13·MIMO·20MHz·0.8us,13,2,20,60.0,0.00,1.000,302.0,2416.0,dwell,STAY
971.0,1.59,MCS13·SISO·20MHz·0.8us,13,1,20,60.0,0.00,1.000,151.0,2416.0,search,SEARCH
972.6,0.40,MCS13·MIMO·40MHz·0.8us,13,2,40,60.0,0.00,1.000,604.0,2416.0,search,SEARCH
973.0,0.93,MCS13·MIMO·20MHz·3.2us,13,2,20,60.0,0.00,1.000,256.7,2416.0,search,SEARCH
